Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value
Symptoms of Anxiety Disorder,By State,Maryland,Maryland,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,27.7
Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,37
Symptoms of Anxiety Disorder,By State,Michigan,Michigan,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,32.5
Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,28.5
Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,30.3
Symptoms of Anxiety Disorder,By State,Missouri,Missouri,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,30.4
Symptoms of Anxiety Disorder,By State,Montana,Montana,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,22.8
Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,24.2
Symptoms of Anxiety Disorder,By State,Nevada,Nevada,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,31.4
Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,31.3
Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,31.4
Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,27.9
Symptoms of Anxiety Disorder,By State,New York,New York,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,36.1
Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,30
Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,21.7
Symptoms of Anxiety Disorder,By State,Ohio,Ohio,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,31.1
Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,28.6
Symptoms of Anxiety Disorder,By State,Oregon,Oregon,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,31.5
Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,31
Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,27.6
Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,27.8
Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,22.1
Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,28.2
Symptoms of Anxiety Disorder,By State,Texas,Texas,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,29.7
Symptoms of Anxiety Disorder,By State,Utah,Utah,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,28.9
Symptoms of Anxiety Disorder,By State,Vermont,Vermont,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,30.6
Symptoms of Anxiety Disorder,By State,Virginia,Virginia,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,28.5
Symptoms of Anxiety Disorder,By State,Washington,Washington,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,30.6
Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,28.8
Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,27.1
Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,24.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,46.8
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,39.6
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,38.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,35.8
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,28.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,21.5
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,21.1
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Male,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,31
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Female,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,40.7
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,42.7
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,33.6
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,38.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,31.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,43.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,Alabama,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,30.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,Alaska,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,31.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,Arizona,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,36.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,Arkansas,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,38
Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,California,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,37.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,Colorado,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,35.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,Connecticut,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,40.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,Delaware,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,34.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,District of Columbia,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,37.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,Florida,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,36.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,Georgia,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,36.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,Hawaii,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,37
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,Idaho,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,33.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,Illinois,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,36.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,Indiana,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,37.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,Iowa,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,28.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,Kansas,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,32.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,Kentucky,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,36.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,Louisiana,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,38.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,Maine,1,1,"Apr 23 - May 5, 2020",23-04-2020,05-05-2020,34.3
